,belongs_to_collection,genres,id,overview,popularity,production_companies,status,tagline,title,vote_average,vote_count,director
5455,The Transporter Collection,"Action, Crime, Thriller",4108,"Former Special Forces officer, Frank Martin will deliver anything to anyone for the right price, and his no-questions-asked policy puts him in high demand. But when he realizes his latest cargo is alive, it sets in motion a dangerous chain of events. The bound and gagged Lai is being smuggled to France by a shady American businessman, and Frank works to save her as his own illegal activities are uncovered by a French detective.",13.217421,"[{'name': 'TF1 Films Productions', 'id': 356}, {'name': 'Current Entertainment', 'id': 972}, {'name': 'Canal+', 'id': 5358}, {'name': 'EuropaCorp', 'id': 6896}]",Released,Rules are made to be broken.,The Transporter,6.6,1724.0,"['Louis Leterrier', 'Corey Yuen Kwai']"
3066,,"Comedy, Drama, Romance",1850,"A film about the life and career of the eccentric avant-garde comedian, Andy Kaufman.",13.217419,"[{'name': 'Mutual Film Company', 'id': 762}]",Released,"Hello, my name is Andy and this is my movie.",Man on the Moon,6.9,444.0,['Miloš Forman']
4118,Alex Cross Collection,"Crime, Mystery, Thriller, Action",2043,"When a teacher kidnaps a girl from a prestigious school, homicide detective, Alex Cross takes the case and teams up with young security agent, Jezzie Flannigan in hope of finding the girl and stopping the brutal psychopath. Every second counts as Alex and Jezzie attempt to track down the kidnapper before the spider claims another victim for its web.",13.214068,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'AZL Productions KG', 'id': 902}, {'name': 'David Brown Productions', 'id': 903}, {'name': 'MFP Munich Film Partners', 'id': 904}, {'name': 'Phase 1 Productions', 'id': 905}, {'name': 'Revelations Entertainment', 'id': 906}]",Released,The game is far from over.,Along Came a Spider,6.1,408.0,['Lee Tamahori']
2045,House Collection,"Comedy, Horror",11415,"Roger Cobb is a author who has just separated from his wife. He moves into a new house and tries to work on a novel based on his experiences in the Vietnam War. Strange things start happening around him; little things at first, but as they become more frequent, Cobb becomes aware that the house resents his presence.",13.208902,"[{'name': 'New World Pictures', 'id': 1950}]",Released,"Ding dong, You’re dead.",House,5.8,144.0,['Steve Miner']
7244,Hellboy Collection,"Fantasy, Action, Science Fiction",1487,"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before a demon - Hellboy - has already been conjured. Joining the Allied forces, Hellboy eventually grows to adulthood, serving the cause of good rather than evil.",13.206854,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Revolution Studios', 'id': 497}, {'name': 'Dark Horse Entertainment', 'id': 552}, {'name': 'Lawrence Gordon Productions', 'id': 840}, {'name': 'Starlite Films', 'id': 21497}]",Released,From the Dark Side to Our Side.,Hellboy,6.5,2278.0,['Guillermo del Toro']
12949,,"Comedy, Drama",4944,"When a disc containing memoirs of a former CIA analyst falls into the hands of Linda Litzke and Chad Feldheimer, the two gym employees see a chance to make enough money for her to have life-changing cosmetic surgery. Predictably, events whirl out of control for the duo doofuses and those in their orbit.",13.206799,"[{'name': 'Mike Zoss Productions', 'id': 2092}, {'name': 'Studio Canal', 'id': 5870}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'Focus Features', 'id': 10146}, {'name': 'Working Title Films', 'id': 10163}]",Released,Intelligence is relative.,Burn After Reading,6.5,1251.0,"['Joel Coen', 'Ethan Coen']"
2997,,Drama,11005,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",13.201595,"[{'name': 'Parkes/Lasker productions', 'id': 67713}]",Released,There is no such thing as a simple miracle.,Awakenings,7.6,568.0,['Penny Marshall']
40045,,"Drama, Action",296524,"A story set on the offshore drilling rig Deepwater Horizon, which exploded during April 2010 and created the worst oil spill in U.S. history.",13.1984,"[{'name': 'Di Bonaventura Pictures', 'id': 435}, {'name': 'Summit Entertainment', 'id': 491}, {'name': 'Participant Media', 'id': 6735}, {'name': 'Closest to the Hole Productions', 'id': 8537}, {'name': 'Leverage Entertainment', 'id': 8539}, {'name': 'TIK Film', 'id': 86900}]",Released,"When faced with our darkest hour, hope is not a tactic",Deepwater Horizon,6.5,1478.0,['Peter Berg']
7189,,Drama,615,"""The Passion of the Christ"" is a film about the last 12 hours in the life of Jesus. Director Mel Gibson received much criticism from critics and audiences for his explicit depiction of and focus on violence and on christs suffering, especially on the part of the jewish community. The films languages are Arabic, Latin and Hebrew and its actors are laymen which was controversially received as well.",13.194168,"[{'name': 'Icon Productions', 'id': 152}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",Released,"By his wounds, we were healed.",The Passion of the Christ,6.9,888.0,['Mel Gibson']
3327,Teenage Mutant Ninja Turtles (Original) Collection,"Science Fiction, Action, Adventure, Comedy, Family",1498,A quartet of mutated humanoid turtles clash with an uprising criminal gang of ninjas,13.184585,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Golden Harvest Company', 'id': 2521}]",Released,Heroes in a half shell!,Teenage Mutant Ninja Turtles,6.5,486.0,['Steve Barron']
1897,Lethal Weapon Collection,"Adventure, Action, Comedy, Thriller, Crime",941,"Veteran buttoned-down LAPD detective Roger Murtaugh is partnered with unhinged cop Martin Riggs, who -- distraught after his wife's death -- has a death wish and takes unnecessary risks with criminals at every turn. The odd couple embark on their first homicide investigation as partners, involving a young woman known to Murtaugh with ties to a drug and prostitution ring.",13.183804,"[{'name': 'Silver Pictures', 'id': 1885}, {'name': 'Warner Bros.', 'id': 6194}]",Released,If these two can learn to stand each other... the bad guys don't stand a chance.,Lethal Weapon,7.0,1367.0,['Richard Donner']
3392,,Drama,10774,A TV network cynically exploits a deranged ex-TV anchor's ravings and revelations about the media for their own profit.,13.180457,"[{'name': 'United Artists', 'id': 60}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",Released,Not since the dawn of time has America experienced a man like Howard Beale!,Network,7.8,391.0,['Sidney Lumet']
39355,The Purge Collection,"Action, Horror, Thriller",316727,"Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.",13.1789,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Why Not Productions', 'id': 729}, {'name': 'Platinum Dunes', 'id': 2481}, {'name': 'Blumhouse Productions', 'id': 3172}]",Released,Keep America great,The Purge: Election Year,6.1,1356.0,['James DeMonaco']
43217,,Drama,283591,"The hidden memoir of an elderly woman confined to a mental hospital reveals the history of her passionate yet tortured life, and of the religious and political upheavals in Ireland during the 1920s and 30s.",13.177741,"[{'name': 'Ferndale Films', 'id': 1468}, {'name': 'Irish Film Board', 'id': 5267}, {'name': 'Apollo Media', 'id': 73216}]",Released,,The Secret Scripture,7.6,25.0,['Jim Sheridan']
10100,Star Wars Collection,"Science Fiction, Adventure, Action",1895,"Years after the onset of the Clone Wars, the noble Jedi Knights lead a massive clone army into a galaxy-wide battle against the Separatists. When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker is seduced by the dark side of the Force to become the Emperor's new apprentice – Darth Vader. The Jedi are decimated, as Obi-Wan Kenobi and Jedi Master Yoda are forced into hiding. The only hope for the galaxy are Anakin's own offspring – the twin children born in secrecy who will grow up to become heroes.",13.165421,"[{'name': 'Lucasfilm', 'id': 1}]",Released,The saga is complete.,Star Wars: Episode III - Revenge of the Sith,7.1,4200.0,['George Lucas']
1686,The Blues Brothers Collection,"Music, Action, Comedy, Crime",11568,"Elwood, the now lone ""Blues Brother"" finally released from prison, is once again enlisted by Sister Mary Stigmata in her latest crusade to raise funds for a children's hospital. Once again hitting the road to re-unite the band and win the big prize at the New Orleans Battle of the Bands, Elwood is pursued cross-country by the cops, led by Cabel the Curtis' son",13.162168,"[{'name': 'Universal Pictures', 'id': 33}]",Released,,Blues Brothers 2000,5.2,166.0,['John Landis']
18923,,"Action, Adventure, Animation, Horror",31967,"Dante journeys through the nine circles of Hell -- limbo, lust, gluttony, greed, anger, heresy, violence, fraud and treachery -- in search of his true love, Beatrice. An animated version of the video game of the same name.",13.157995,"[{'name': 'Dong Woo Animation', 'id': 5385}]",Released,,Dante's Inferno: An Animated Epic,6.0,62.0,"['Victor Cook', 'Kim Sang-jin', 'Mike Disa', 'Jong-Sik Nam', 'Lee Seung-Gyu', 'Shukō Murase', 'Shuko Murase']"
7231,,"Fantasy, Horror, Action",924,"A group of surviving people take refuge in a shopping center after the world has been over taken over by aggressive, flesh-eating zombies. A remake of the 1978 zombie film of the same name.",13.157873,"[{'name': 'New Amsterdam Entertainment', 'id': 572}, {'name': 'Strike Entertainment', 'id': 655}, {'name': 'Metropolitan Filmexport', 'id': 656}, {'name': 'Toho-Towa', 'id': 657}, {'name': 'Cruel and Unusual Films', 'id': 78685}]",Released,"When the undead rise, civilization will fall.",Dawn of the Dead,6.8,1039.0,['Zack Snyder']
1610,,"Comedy, Drama",37165,"Truman Burbank is the star of ""The Truman Show"", a 24-hour-a-day ""reality"" TV show that broadcasts every aspect of his life -- live and in color -- without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows -- including his wife and his best friend -- is really an actor, paid to be part of his life.",13.155901,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Scott Rudin Productions', 'id': 258}]",Released,On the air. Unaware.,The Truman Show,7.8,4702.0,['Peter Weir']
418,,"Drama, Action, Thriller",178,Blown Away tells the story of Jimmy Dove who works for the Boston bomb squad. Shortly after Dove leaves the force his partner is killed by a bomb that Dove thinks might have been made by someone he knows.,13.155071,"[{'name': 'Trilogy Entertainment Group', 'id': 2231}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",Released,5. 4. 3. 2. 1......Time's Up.,Blown Away,6.0,126.0,['Stephen Hopkins']
2256,Godzilla (Showa) Collection,"Thriller, Horror, Science Fiction",1678,"Japan is thrown into a panic after several ships explode and are sunk near Odo Island. An expedition to the island led by paleontologist Professor Kyohei Yemani soon discover something more devastating than imagined in the form of a 164 foot tall monster whom the natives call Gojira. Now the monster begins a rampage that threatens to destroy not only Japan, but the rest of the world as well.",13.153272,"[{'name': 'Toho Film (Eiga) Co. Ltd.', 'id': 622}]",Released,It's Alive!,Godzilla,6.9,194.0,['Ishirô Honda']
1456,,"Science Fiction, Action, Drama, Thriller",10357,"An earthquake shatters a peaceful Los Angeles morning and opens a fissure deep into the earth, causing lava to start bubbling up. As a volcano begins forming in the La Brea Tar Pits, the director of the city's emergency management service, Mike Roark, working with geologist Amy Barnes, must then use every resource in the city to try and stop the volcano from consuming Los Angeles.",13.147917,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",Released,The coast is toast,Volcano,5.2,387.0,['Mick Jackson']
27728,,"Thriller, Action",277355,"After she betrays a powerful mob boss, a woman matches wits and weaponry with a legion of killers who are out to collect the bounty on the heads of her and her family.",13.145621,"[{'name': 'Crime Scene Pictures', 'id': 13472}, {'name': 'Radius-TWC', 'id': 20671}, {'name': 'Anonymous Content', 'id': 30420}, {'name': 'Vega, Baby!', 'id': 43906}]",Released,Enter if you dare.,Everly,5.2,231.0,['Joe Lynch']
35148,,"Comedy, Drama",318846,The men who made millions from a global economic meltdown.,13.143061,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Plan B Entertainment', 'id': 81}, {'name': 'Regency Enterprises', 'id': 508}]",Released,This is a true story.,The Big Short,7.3,2679.0,['Adam McKay']
11535,Happily N'Ever After Collection,"Animation, Comedy, Family, Fantasy, Science Fiction",5393,"An alliance of evil-doers, led by Frieda, looks to take over Fairy Tale Land. But when Ella realizes her stepmother is out to ruin her storybook existence, she takes a dramatic turn and blossoms into the leader of the resistance effort.",13.139893,"[{'name': 'Vanguard Films', 'id': 614}, {'name': 'Lionsgate', 'id': 1632}, {'name': 'Odyssey', 'id': 1718}, {'name': 'Nitrogen Studios Canada', 'id': 46875}]",Released,Fairy Tale Endings Aren't What They Used To Be,Happily N'Ever After,4.6,108.0,"['Yvette Kaplan', 'Paul Bolger', 'Greg Tiernan']"
4727,,"Action, Comedy, Crime, Romance",3172,Two bank robbers fall in love with the girl they've kidnapped.,13.136791,"[{'name': 'Cheyenne Enterprises', 'id': 890}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Empire Pictures', 'id': 1212}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Hyde Park Entertainment', 'id': 13816}, {'name': 'Baltimore Spring Creek Productions', 'id': 16061}, {'name': 'Lotus Pictures', 'id': 52944}]",Released,"Two's company, three's a crime.",Bandits,6.2,307.0,['Barry Levinson']
20274,,"Thriller, Crime, Drama",68812,"The true story of Richard Kuklinski, the notorious contract killer and family man.",13.132127,"[{'name': 'Bleiberg Entertainment', 'id': 1872}, {'name': 'Millennium Films', 'id': 10254}]",Released,Loving husband. Devoted father. Ruthless killer.,The Iceman,6.4,368.0,['Ariel Vromen']
17889,,"Action, Drama",59440,"The inspirational story of an estranged family that finds redemption in the unlikeliest of places…the MMA ring. Tommy Riordan (Tom Hardy), an ex-marine with a tragic past, returns home and enlists his father (Nick Nolte), a recovering alcoholic and former wrestling coach, to train him for “Sparta”, the biggest MMA tournament ever held. But when Tommy’s underdog brother, Brendan (Joel Edgerton), fights his way into the tournament, the two brothers must finally confront each other and the forces that pulled them apart. What ensues is the most gut-wrenching, soul-stirring, and unforgettable battle of their lives.",13.121626,"[{'name': 'Solaris Film', 'id': 1001}, {'name': 'Lionsgate', 'id': 1632}, {'name': 'Mimran Schur Pictures', 'id': 6573}, {'name': 'Filmtribe', 'id': 12425}]",Released,Fight for Family,Warrior,7.7,1297.0,"[""Gavin O'Connor""]"
12714,,"Comedy, Action",10661,An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist. Zohan's desire runs so deep that he'll do anything -- including faking his own death and going head-to-head with an Arab cab driver -- to make his dreams come true.,13.116461,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Happy Madison Productions', 'id': 2608}, {'name': 'Sony Pictures Releasing', 'id': 3045}, {'name': 'Relativity Media', 'id': 7295}]",Released,Lather. Rinse. Save the world.,You Don't Mess with the Zohan,5.5,1068.0,['Dennis Dugan']
18891,,"Thriller, Action, Adventure, Science Fiction",44833,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",13.106966,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Hasbro', 'id': 2598}, {'name': 'Bluegrass Films', 'id': 13778}, {'name': 'Film 44', 'id': 20153}]",Released,The Battle for Earth Begins at Sea,Battleship,5.5,2141.0,['Peter Berg']
7238,,"Comedy, Crime, Thriller",5516,"An eccentric, if not charming Southern professor and his crew pose as a band in order to rob a casino, all under the nose of his unsuspecting landlord – a sharp old woman.",13.106691,"[{'name': 'Mike Zoss Productions', 'id': 2092}, {'name': 'The Jacobson Company', 'id': 3638}, {'name': 'Touchstone Pictures', 'id': 9195}]",Released,The greatest criminal minds of all time have finally met their match.,The Ladykillers,6.0,421.0,"['Joel Coen', 'Ethan Coen']"
489,,"Action, Adventure, Drama, Thriller",2320,"Terrorists hijack a 747 inbound to Washington D.C., demanding the the release of their imprisoned leader. Intelligence expert David Grant (Kurt Russell) suspects another reason and he is soon the reluctant member of a special assault team that is assigned to intercept the plane and hijackers.",13.106291,"[{'name': 'Silver Pictures', 'id': 1885}, {'name': 'Warner Bros.', 'id': 6194}]",Released,Fasten your seat belts,Executive Decision,5.8,261.0,['Stuart Baird']
18265,,Comedy,57431,"Noah, is not your typical entertain-the-kids-no-matter-how-boring-it-is kind of sitter. He's reluctant to take a sitting gig; he'd rather, well, be doing anything else, especially if it involves slacking. When Noah is watching the neighbor's kid he gets a booty call from his girlfriend in the city. To hook up with her, Noah takes to the streets, but his urban adventure spins out of control as he finds himself on the run from a maniacal drug lord.",13.105682,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Michael De Luca Productions', 'id': 11370}, {'name': 'Rough House Pictures', 'id': 20848}]",Released,Worst. Babysitter. Ever.,The Sitter,5.4,330.0,['David Gordon Green']
11041,,"Comedy, Drama, Romance",350,The Devil Wears Prada is about a young journalist who moves to New York to work in the fashion industry. Her boss however is extremely demanding and cruel and won’t let her succeed if she doesn’t fit into the high class elegant look of their magazine when all she really wants to be a good journalist.,13.102384,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Major Studio Partners', 'id': 445}, {'name': 'Peninsula Films', 'id': 682}, {'name': 'Fox 2000 Pictures', 'id': 711}]",Released,Meet Andy Sachs. A million girls would kill to have her job. She's not one of them.,The Devil Wears Prada,7.0,3198.0,['David Frankel']
10961,Scary Movie Collection,Comedy,4257,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.",13.096692,"[{'name': 'Dimension Films', 'id': 7405}]",Released,Bury the grudge. Burn the village.  See the saw.,Scary Movie 4,5.3,779.0,['David Zucker']
7305,,Comedy,10710,A man becomes increasingly jealous of his friend's newfound success.,13.094205,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'NPV Entertainment', 'id': 172}, {'name': 'DreamWorks Pictures', 'id': 7293}, {'name': 'Baltimore Spring Creek Productions', 'id': 16061}, {'name': 'Nu Image / Millennium Films', 'id': 25473}]",Released,"Success didn’t go to his head, it went to his neighbor.",Envy,4.8,144.0,['Barry Levinson']
12197,,"Comedy, Drama",5718,"Charlie gets released from an insane asylum and moves in with Miranda, the young daughter he left behind. Charlie believes that there is treasure hidden beneath the local Costco, so he puts together a plan to unearth the loot. By convincing Miranda to quit her job at McDonald's and instead work at the wholesale store, he is able to obtain a key. Although Miranda is skeptical, she helps her father with his irrational quest.",13.088825,"[{'name': 'Nu Image Films', 'id': 925}, {'name': 'Michael London Productions', 'id': 1187}, {'name': 'Millennium Films', 'id': 10254}, {'name': 'Emmett/Furla Films', 'id': 10405}, {'name': 'King of California Productions', 'id': 23104}, {'name': 'Lone Star Film Group', 'id': 23105}]",Released,You've got to believe in treasure to find it.,King of California,6.5,104.0,['Mike Cahill']
10018,The Amityville Horror Collection,"Horror, Thriller, Drama",10065,A family is terrorized by demonic forces after moving into a home that was the site of a grisly mass-murder.,13.088552,"[{'name': 'Platinum Dunes', 'id': 2481}, {'name': 'Dimension Films', 'id': 7405}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Radar Pictures', 'id': 14718}]",Released,What happened over the next 28 days has never been explained.,The Amityville Horror,6.0,606.0,['Andrew Douglas']
40928,,"Action, Drama, War, Romance, Thriller",369885,"In 1942, an intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",13.085186,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'GK Films', 'id': 3281}, {'name': 'ImageMovers', 'id': 11395}, {'name': 'Huahua Media', 'id': 83645}]",Released,The enemy is listening.,Allied,6.6,1415.0,['Robert Zemeckis']
7217,,Comedy,10591,"Exceptionally ambitious high schooler Matthew has aspirations for a career in politics when he falls in love with his gorgeous 19-year-old neighbor, Danielle. But Matthew's bright future is jeopardized when he finds Danielle was once a porn star. As Danielle's past catches up with her, Matthew's love for her forces him to re-evaluate his goals.",13.083718,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'New Regency Pictures', 'id': 10104}, {'name': 'Daybreak', 'id': 49241}]",Released,Matt never saw her coming... but all his friends had!,The Girl Next Door,6.3,844.0,['Luke Greenfield']
15867,,"Crime, Drama, Thriller",23168,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.",13.081203,"[{'name': 'Legendary Pictures', 'id': 923}, {'name': 'GK Films', 'id': 3281}, {'name': 'Thunder Road Pictures', 'id': 3528}, {'name': 'Warner Bros.', 'id': 6194}]",Released,Welcome to the bank robbery capital of America.,The Town,7.0,1516.0,['Ben Affleck']
23861,,"Thriller, Drama",244536,"When motocross and heavy metal obsessed, 13-year-old Jacob's delinquent behavior forces CPS to place his little brother Wes with his aunt, Jacob and his emotionally absent father must finally take responsibility for their actions and each other in order to bring Wes home.",13.079538,"[{'name': 'IFC Films', 'id': 307}, {'name': 'Silver Sail Entertainment', 'id': 42037}, {'name': 'Across Town Productions', 'id': 42038}, {'name': 'Arts+Labor', 'id': 42039}]",Released,,Hellion,5.5,51.0,['Kat Candler']
6439,Tomb Raider Collection,"Action, Adventure, Fantasy, Thriller",1996,"Lara Croft ventures to an underwater temple in search of the mythological Pandora's Box but, after securing it, it is promptly stolen by the villainous leader of a Chinese crime syndicate. Lara must recover the box before the syndicate's evil mastermind uses it to construct a weapon of catastrophic capabilities.",13.076349,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Toho-Towa', 'id': 657}, {'name': 'Mutual Film Company', 'id': 762}, {'name': 'Lawrence Gordon Productions', 'id': 840}, {'name': 'British Broadcasting Corporation (BBC)', 'id': 3324}, {'name': 'October Pictures', 'id': 14362}, {'name': 'Eidos Interactive', 'id': 19105}]",Released,Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box,Lara Croft Tomb Raider: The Cradle of Life,5.5,1443.0,['Jan de Bont']
1738,,Drama,9469,A basketball player's father must try to convince him to go to a college so he can get a shorter sentence.,13.06943,"[{'name': '40 Acres & A Mule Filmworks', 'id': 4319}, {'name': 'Touchstone Pictures', 'id': 9195}]",Released,"The father, the son and the holy game.",He Got Game,6.7,140.0,['Spike Lee']
5345,,"Adventure, Action, Fantasy",6278,"In post-apocalyptic England, an American volunteer and a British survivor team up to fight off a brood of fire-breathing dragons seeking to return to global dominance after centuries of rest underground. The Brit -- leading a clan of survivors to hunt down the King of the Dragons -- has much at stake: His mother was killed by a dragon, but his love is still alive.",13.067306,"[{'name': 'The Zanuck Company', 'id': 80}, {'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'World 2000 Entertainment', 'id': 7692}, {'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Tripod Entertainment', 'id': 22902}]",Released,Fight Fire With Fire,Reign of Fire,6.0,684.0,['Rob Bowman']
12584,Harold & Kumar Collection,"Comedy, Adventure",13335,"Having satisfied their urge for White Castle, Harold and Kumar jump on a plane to catch up with Harold's love interest, who's headed for the Netherlands. But the pair must change their plans when Kumar is accused of being a terrorist. Rob Corddry also stars in this wild comedy sequel that follows the hapless stoners' misadventures as they try to avoid being captured by the Department of Homeland Security.",13.065315,"[{'name': 'New Line Cinema', 'id': 12}]",Released,This time they're running from the joint.,Harold & Kumar Escape from Guantanamo Bay,6.2,508.0,"['Jon Hurwitz', 'Hayden Schlossberg']"
2685,Airplane Collection,Comedy,813,"Alcoholic pilot, Ted Striker has developed a fear of flying due to wartime trauma, but nevertheless boards a passenger jet in an attempt to woo back his stewardess girlfriend. Food poisoning decimates the passengers and crew, leaving it up to Striker to land the plane with the help of a glue-sniffing air traffic controller and Striker's vengeful former Air Force captain, who must both talk him down.",13.063203,"[{'name': 'Paramount Pictures', 'id': 4}]",Released,"What's slower than a speeding bullet, and able to hit tall buildings at a single bound?",Airplane!,7.1,1104.0,"['Jim Abrahams', 'David Zucker', 'Jerry Zucker']"
4453,Best of the Best Collection,"Action, Thriller",32049,"In an underground fight club, blackbelt Travis Brickley is killed after losing to the evil martial arts master Brakus. Travis' death is witnessed by Walter Grady, the son of his best friend Alex Grady. Alex and his partner, Tommy Lee, vow to avenge their friend's death by defeating Brakus and shutting down the fight club.",13.053072,"[{'name': 'The Movie Group', 'id': 44962}, {'name': 'Picture Securities', 'id': 91380}]",Released,Get ready for the ultimate challenge!,Best of the Best 2,6.1,30.0,['Robert Radler']
39061,Teenage Mutant Ninja Turtles (Remake) Collection,"Fantasy, Action, Adventure, Comedy",308531,"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.",13.047776,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Nickelodeon Movies', 'id': 2348}, {'name': 'Platinum Dunes', 'id': 2481}, {'name': '5150 Action', 'id': 47354}, {'name': 'Gama Entertainment Partners', 'id': 77208}]",Released,Raise some shell.,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,984.0,['Dave Green']
1909,Back to the Future Collection,"Adventure, Comedy, Family, Science Fiction",196,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking up Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",13.043999,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'U-Drive Productions', 'id': 20448}]",Released,They've saved the best trip for last... But this time they may have gone too far.,Back to the Future Part III,7.1,2978.0,['Robert Zemeckis']
8240,,Drama,13416,"A small, turbulent town in Texas obsesses over their high school football team to an unhealthy degree. When the star tailback, Boobie Miles, is seriously injured during the first game of the season, all hope is lost, and the town's dormant social problems begin to flare up. It is left to the inspiring abilities of new coach Gary Gaines to instill in the other team members -- and, by proxy, the town itself -- a sense of self-respect and honor.",13.041943,"[{'name': 'Universal Studios', 'id': 13}, {'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Friday Night Lights LLC', 'id': 23438}, {'name': 'MDBF Filmgesellschaft mbH & Company KG', 'id': 23439}]",Released,Hope comes alive on Friday nights.,Friday Night Lights,7.0,154.0,['Peter Berg']
12370,,"Drama, Thriller",4170,"A Texas cop (Kevin Kline), whose own daughter might have been forced into sexual slavery, joins forces with a Mexican youth (Cesar Ramos) to find the boy's sister, who was abducted and forced into prostitution. Meanwhile, a Ukrainian woman who was promised a better life in America also becomes a victim.",13.033004,"[{'name': 'Centropolis Film Productions', 'id': 620}]",Released,"Each year, more than 1,000,000 people are trafficked across international borders... against their will.",Trade,6.8,69.0,['Marco Kreuzpaintner']
6918,,"Fantasy, Horror, Comedy",6069,Three single women in a picturesque village have their wishes granted - at a cost - when a mysterious and flamboyant man arrives in their lives.,13.031671,"[{'name': 'Kennedy Miller Productions', 'id': 2537}, {'name': 'The Guber-Peters Company', 'id': 4357}, {'name': 'Warner Bros.', 'id': 6194}]",Released,Three Beautiful Women. One Lucky Devil.,The Witches of Eastwick,6.2,334.0,['George Miller']
4347,,Drama,10868,"After a young woman suffers a brutal rape in a bar one night, a prosecutor assists in bringing the perpetrators to justice, including the ones who encouraged and cheered on the attack.",13.028922,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Paramount Pictures (Canada)', 'id': 90738}]",Released,Being a victim was her only crime.,The Accused,6.8,130.0,['Jonathan Kaplan']
